"Story","Title","Result","Date","Stability","Duration (s)"
"Add items to wish list and sort items","Add an item to wish list","ERROR","09:51:03","0.0","261.68"
"Pincode change and prime benefits and cart verification","Empty cart verification","ERROR","09:57:29","0.0","46.34"
