"Story","Title","Result","Date","Stability","Duration (s)"
"Add items to wish list and sort items","Add an item to wish list","ERROR","09:51:03","0.0","261.68"
"Add items to wish list and sort items","Sort items by applying filters","SUCCESS","09:55:31","0.0","51.87"
