"Story","Title","Result","Date","Stability","Duration (s)"
"Search product in amazon and language change option","Search for an Item","SUCCESS","09:58:17","0.0","45.62"
"Search product in amazon and language change option","Language Settings in amazon","SUCCESS","09:59:04","0.0","15.96"
